Index,X,Y,Species,DBH,Age,a,b,Height
1,1.39937866210937,-4.21116821289062,1,8.97418577754379,6,8.26000022888184,0.535199999809265,269.796669086508
2,1.31824249267578,-1.34112075805664,1,9.04978874672029,6,8.26000022888184,0.535199999809265,270.904051116537
3,-3.60025177001953,-1.64595657348633,1,9.00294778714703,6,8.26000022888184,0.535199999809265,270.217978255744
4,-1.060810546875,-2.03511993408203,1,9.02387238063691,6,8.26000022888184,0.535199999809265,270.524466801197
5,-1.30140975952148,-3.68285095214844,1,8.9058555482883,6,8.26000022888184,0.535199999809265,268.79564998211
6,3.45123382568359,3.47318756103516,1,9.04014587904199,6,8.26000022888184,0.535199999809265,270.76281936462
7,2.14669219970703,-3.54966369628906,1,8.87439069991395,6,8.26000022888184,0.535199999809265,268.334646441523
8,1.96803924560547,2.54383926391602,1,8.99041074554334,6,8.26000022888184,0.535199999809265,270.034337630739
9,-4.43036071777344,-3.83051788330078,1,9.04303526223434,6,8.26000022888184,0.535199999809265,270.805138287659
10,2.14103942871094,4.00524719238281,1,8.99341479340245,6,8.26000022888184,0.535199999809265,270.078340929635
11,0.432872314453125,-0.430191040039063,1,9.01439180905692,6,8.26000022888184,0.535199999809265,270.385603941455
